File ID,Category,Original Description,Subcategory
000014,Attempting,"a person walks aimlessly and slowly in an imperfect circle around the room, lathargecly swaying their arms with each step.",walking and gesturing
000021,Attempting,person is walking normally in a circle,walking and turning around
000022,Attempting,a person walks forward then turns around and walks back.,walking and turning around
000026,Attempting,a person paces back and forth in a small space,walking and turning around
000032,Attempting,"a person walks forward, then turns around and walks forward",walking and turning around
000097,Attempting,a man with his left arm raised walk clockwise.,walking and gesturing
M000097,Attempting,a man with his right arm raised walk counterclockwise.,walking and gesturing
000106,Attempting,a person moves backwards then forwards then jumps.,jumping and moving back and forth
M000106,Attempting,a person moves backwards then forwards then jumps.,moving back then forward then jumping
000164,Attempting,person is walking like in a cat-walk back and forth,walking and turning around
M000164,Attempting,person is walking like in a cat-walk back and forth,walking and gesturing
000276,Attempting,he walked straight down and pointed at something with his index finger and then turned back and moved to initial position.,walking and gesturing
M000276,Attempting,he walked straight down and pointed at something with his index finger and then turned back and moved to initial position.,walking and gesturing
000283,Attempting,the figure walks straight then right and looks around and then back to the starting position.,walking and turning around
M000283,Attempting,the figure walks straight then left and looks around and then back to the starting position.,walking and turning around
000305,Attempting,person looks like their running up and kicking a ball,running and gesturing
M000305,Attempting,person looks like their running up and kicking a ball,running and gesturing
000453,Attempting,"a man looks from side to side, steps forward, kicks something, and steps backward to where he was standing.","looking around, stepping forward, kicking, stepping back"
M000453,Attempting,"a man looks from side to side, steps forward, kicks something, and steps backward to where he was standing.",looking around and moving
000530,Attempting,someone moves forward slowly in a zigzag pattern with their hands up in comical sneaking gesture.,walking and gesturing
M000530,Attempting,someone moves forward slowly in a zigzag pattern with their hands up in comical sneaking gesture.,walking and gesturing
000561,Attempting,person walks forward then turns around and walks back.,walking and turning around
M000561,Attempting,person walks forward then turns around and walks back.,walking and turning around
000898,Attempting,a person walks casually and high fives with their right hand.,walking and gesturing
000905,Attempting,"a person walks in a curve, looks around, then continues walking.",walking and gesturing
000906,Attempting,"a person walks around in a complete circle to the right while holding his left side, then u-turns back towards the way he came.",walking and turning around
000953,Attempting,"a person walks forward, then runs diagonal, then walks to the side and then runs back to the starting point.",walking and running and turning around and running
001032,Attempting,"a man walks forward, to the end of the platform, then turns counterclockwise on his heel, before walking back to his starting point.",walking and turning around
M001032,Attempting,"a man walks forward, to the end of the platform, then turns clockwise on his heel, before walking back to his starting point.",walking and turning around
001048,Attempting,a person running while making the small circle,running and gesturing
M001048,Attempting,a person running while making the small circle,running and gesturing
001049,Attempting,the person is walking then running and jumping.,walking and running and jumping
M001049,Attempting,the person is walking then running and jumping.,walking and running and jumping
001058,Attempting,a person is bouncing around while flapping his arms.,jumping and gesturing
M001058,Attempting,a person is bouncing around while flapping his arms.,jumping and gesturing
001059,Attempting,the person is holding their head while walking.,holding head while walking
M001059,Attempting,the person is holding their head while walking.,holding head while walking
001163,Attempting,a person who is walking backwards,walking and turning around
M001163,Attempting,a person who is walking backwards,walking and turning around
001175,Attempting,a person walks in a circle to the right holding backpack with both hands behind back.,walking and gesturing
M001175,Attempting,a person walks in a circle to the left holding backpack with both hands behind back.,walking and gesturing
001339,Attempting,a figure walks forward and turns 180 degrees from the left before walking back towards the starting point,walking and turning around
M001339,Attempting,a figure walks forward and turns 180 degrees from the right before walking back towards the starting point,walking and turning around
001364,Attempting,a man walks into a wall and turns around,walking and turning around
M001364,Attempting,a man walks into a wall and turns around,walking and turning around
001383,Attempting,a person walking forward and lifts something heavy.,walking and gesturing
M001383,Attempting,a person walking forward and lifts something heavy.,walking and gesturing
001386,Attempting,person is walking around in a circle.,walking in a circle
M001386,Attempting,person is walking around in a circle.,walking in a circle
001434,Attempting,a person walks in a counter clockwise motion stopping before completing a full circle.,walking and turning around
M001434,Attempting,a person walks in a counter counterclockwise motion stopping before completing a full circle.,walking and turning around
001461,Attempting,a person walking around in circle's,walking in a circle
M001461,Attempting,a person walking around in circle's,walking in a circle
001873,Attempting,"a man walks slowly in a circle, slightly bent with his arms out in front of him.",walking and gesturing
M001873,Attempting,"a man walks slowly in a circle, slightly bent with his arms out in front of him.",walking and gesturing
001933,Attempting,a person throws something heavy over their head,throwing
M001933,Attempting,a person throws something heavy over their head,throwing
001969,Attempting,"a man walks forward, then turns around and walks back before facing back and standing still.",walking and turning around
M001969,Attempting,"a man walks forward, then turns around and walks back before facing back and standing still.",walking and turning around
001972,Attempting,a person jogging making two complete circles.,jogging and turning around
M001972,Attempting,a person jogging making two complete circles.,jogging and turning around
001985,Attempting,the person is walking forward then turning around.,walking and turning around
M001985,Attempting,the person is walking forward then turning around.,walking and turning around
001992,Attempting,"a person walks forward, turns 180-degrees in a clockwise direction then walks back to where they started.",walking and turning around
M001992,Attempting,"a person walks forward, turns 180-degrees in a counterclockwise direction then walks back to where they started.",walking and turning around
002018,Attempting,a person slowly walks in a small lap,walking in a circle
M002018,Attempting,a person slowly walks in a small lap,walking in a circle
002053,Attempting,a person walking a counter clockwise motion,walking in a circle
M002053,Attempting,a person walking a counter counterclockwise motion,walking and turning around
002056,Attempting,"a person takes a step forward, turns directly around, and takes a step forwards again, returning to the original spot.",walking and turning around
M002056,Attempting,"a person takes a step forward, turns directly around, and takes a step forwards again, returning to the original spot.",walking and turning around
002131,Attempting,this person walks forward turns right to walk back.,walking and turning around
M002131,Attempting,this person walks forward turns left to walk back.,walking and turning around
002164,Attempting,picking something off the ground and walking off,walking and picking up
M002164,Attempting,picking something off the ground and walking off,walking and picking up
002169,Attempting,"a person is running, then quickly stops and turns direction while continuing running.",running and gesturing
M002169,Attempting,"a person is running, then quickly stops and turns direction while continuing running.",running and gesturing
002193,Attempting,a person walks in a circle,walking in a circle
M002193,Attempting,a person walks in a circle,walking in a circle
002212,Attempting,a person is walking around.,walking in a circle
M002212,Attempting,a person is walking around.,walking
002286,Attempting,a man walks from side to side in a clockwise circle.,walking and turning around
M002286,Attempting,a man walks from side to side in a counterclockwise circle.,walking and turning around
002287,Attempting,a person walks forward then turns right to go back.,walking and turning around
M002287,Attempting,a person walks forward then turns left to go back.,walking and turning around
002295,Attempting,the person is running in circles.,running and turning around
M002295,Attempting,the person is running in circles.,running and turning around
002404,Attempting,"from a standing position, the person slowly walks in a circle, counter-clockwise, and then stops",walking and turning around
M002404,Attempting,"from a standing position, the person slowly walks in a circle, clockwise, and then stops",walking and turning around
002426,Attempting,a person walks sideways around an object.,walking and turning around
M002426,Attempting,a person walks sideways around an object.,walking and turning around
002847,Attempting,a person steps forward with right leg walking in a circle clockwise motion swinging arms and returns to their original standing point,walking and turning around
M002847,Attempting,a person steps forward with left leg walking in a circle counterclockwise motion swinging arms and returns to their original standing point,walking and gesturing
002945,Attempting,a person is walking in a clockwise circle.,walking and turning around
M002945,Attempting,a person is walking in a counterclockwise circle.,walking and turning around
002957,Attempting,a person leans on something and grabs their leg with their hand,gesturing
M002957,Attempting,a person leans on something and grabs their leg with their hand,standing and gesturing
002976,Attempting,"a person walks forward and turns clockwise, then grabs their knee in pain before continuing ahead and turning clockwise again.","walking and turning around, grabbing knee and walking and turning around"
M002976,Attempting,"a person walks forward and turns counterclockwise, then grabs their knee in pain before continuing ahead and turning counterclockwise again.","walking and turning around, grabbing knee and continuing, walking and turning around"
003011,Attempting,"a person hops on his right foot, turns and steps on his right foot, turns and steps left foot, the a long step right foot.",hopping
M003011,Attempting,"a person hops on his left foot, turns and steps on his left foot, turns and steps right foot, the a long step left foot.",hopping and stepping
003026,Attempting,the person is walking forward to doing it we’re all turning around and walking backwards,walking and turning around
M003026,Attempting,the person is walking forward to doing it we’re all turning around and walking backwards,walking and turning around
003074,Attempting,a person walks backwards then walks forward to the right and then turns around and walks forwards.,walking and turning around
M003074,Attempting,a person walks backwards then walks forward to the left and then turns around and walks forwards.,walking and turning around and walking forwards
003131,Attempting,a man hitting against a surface and then picking something up,"falling
gesturing
standing
grabbing"
M003131,Attempting,a man hitting against a surface and then picking something up,"falling
gesturing
lifting"
003178,Attempting,"someone is sorting thorough things, and then carrying it somewhere",irrelevant
M003178,Attempting,"someone is sorting thorough things, and then carrying it somewhere",irrelevant
003200,Attempting,the man is walking forwards and then backwards and then sideways to complete a circle.,walking and turning around
M003200,Attempting,the man is walking forwards and then backwards and then sideways to complete a circle.,walking and turning around
003208,Attempting,the person is walking around in a figure 8.,walking and turning around
M003208,Attempting,the person is walking around in a figure 8.,walking and turning around
003210,Attempting,"a person walks forward, swings their right leg while turning around and steps forward again.",walking and gesturing
M003210,Attempting,"a person walks forward, swings their left leg while turning around and steps forward again.",walking and gesturing and turning around
003222,Attempting,person walks forward fast then pivots on the  left leg and returns back,walking and turning around
M003222,Attempting,person walks forward fast then pivots on the  right leg and returns back,walking and turning around
003232,Attempting,a person slowly walks clockwise in a circle with their arms stretched out in front of them.,walking and gesturing
M003232,Attempting,a person slowly walks counterclockwise in a circle with their arms stretched out in front of them.,walking and gesturing
003280,Attempting,"a person walks forward, bends down to pick something up, then moves their right arm in a circle",walking and gesturing
M003280,Attempting,"a person walks forward, bends down to pick something up, then moves their left arm in a circle",walking and gesturing
003688,Attempting,uses arms to help sit down legs kick up a bit then gets up to walk away,gesturing and walking
M003688,Attempting,uses arms to help sit down legs kick up a bit then gets up to walk away,gesturing and jumping
003697,Attempting,a person walks forward while intermediatly touching the ground.,walking and gesturing
M003697,Attempting,a person walks forward while intermediatly touching the ground.,walking and gesturing
003700,Attempting,the person is walking forward then backward turns and walks back to the side.,walking and turning around
M003700,Attempting,the person is walking forward then backward turns and walks back to the side.,walking and turning around
003722,Attempting,a man who stumbled and hurt himself and now he is limping,falling
M003722,Attempting,a man who stumbled and hurt himself and now he is limping,falling
003728,Attempting,a person walking in fast pace.,walking
M003728,Attempting,a person walking in fast pace.,walking in fast pace
003749,Attempting,the person is walking forward.,walking
M003749,Attempting,the person is walking forward.,walking
003773,Attempting,man kicks and jumps with right leg,kicking and jumping
M003773,Attempting,man kicks and jumps with left leg,kicking and jumping
003800,Attempting,a person does the cat walk,gesturing
M003800,Attempting,a person does the cat walk,gesturing
003822,Attempting,a person walks anti clockwise in a semi circle then jumps twice,walking and turning around then jumping
M003822,Attempting,a person walks anti counterclockwise in a semi circle then jumps twice,walking and turning around then jumping
003895,Attempting,a person slowly walks in a counter-clockwise circle and begins to climb something.,walking and turning around
M003895,Attempting,a person slowly walks in a clockwise circle and begins to climb something.,walking and turning around
003913,Attempting,"a person shooting a basket ball, walking back, then throwing a football.",shooting and throwing
M003913,Attempting,"a person shooting a basket ball, walking back, then throwing a football.",shooting and throwing
003944,Attempting,he walks forward than turns backward,walking and turning around
M003944,Attempting,he walks forward than turns backward,walking and turning around
004017,Attempting,a person is walking in a counter clockwise circle.,walking and turning around
M004017,Attempting,a person is walking in a counter counterclockwise circle.,walking and turning around
004027,Attempting,a person walks in a circle,walking in a circle
M004027,Attempting,a person walks in a circle,walking in a circle
