File ID,Category,Original Description,Subcategory
000007,Crossing,"a man is walking forward, favoring his left leg and shifting his walk. he is possibly drunk.",walking
000020,Crossing,a person is walking forward briskly.,walking briskly
000023,Crossing,he slowly walking forward towards something.,walking
000031,Crossing,a person walk half the circle in the clockwise direction  and then start running from the next half .,"walking and turning around, running"
000034,Crossing,a person runs and jumps forward,running and jumping forward
000041,Crossing,a person casually walks forward and then stops dramatically.,walking and stopping
M000041,Crossing,a person casually walks forward and then stops dramatically.,walking and stopping
000058,Crossing,a person is walking a tightrope trying not to fall.,walking and gesturing
M000058,Crossing,a person is walking a tightrope trying not to fall.,walking and gesturing
000075,Crossing,a man walking forward slowly.,walking
M000075,Crossing,a man walking forward slowly.,walking
000083,Crossing,a person slowly walks forward and then stops.,walking and stopping
M000083,Crossing,a person slowly walks forward and then stops.,walking and stopping
000089,Crossing,he is running straight and stopped.,running and stopping
M000089,Crossing,he is running straight and stopped.,running and stopping
000092,Crossing,person walks up then bumps into something and takes a slight step back then continues walking,walking and gesturing
M000092,Crossing,person walks up then bumps into something and takes a slight step back then continues walking,walking and gesturing
000108,Crossing,a person is carrying a heavy object in the right hand.,irrelevant
M000108,Crossing,a person is carrying a heavy object in the left hand.,irrelevant
000112,Crossing,a person walks forward then stops,walking and stopping
M000112,Crossing,a person walks forward then stops,walking and stopping
000128,Crossing,a person walks forward and climbs up something on the right hand side,walking and climbing
M000128,Crossing,a person walks forward and climbs up something on the left hand side,walking and gesturing
000133,Crossing,individual appears to run and jump.,running and jumping
M000133,Crossing,individual appears to run and jump.,running and jumping
000145,Crossing,a man jumps with both feet three times forward.,jumping
M000145,Crossing,a man jumps with both feet three times forward.,jumping and running
000148,Crossing,a person walking in a store,walking in a store
M000148,Crossing,a person walking in a store,walking in a store
000177,Crossing,"a person walking forward, swing their right arm upwards.",walking and gesturing
M000177,Crossing,"a person walking forward, swing their left arm upwards.",walking and gesturing
000209,Crossing,a person walking forward in a straight line.,walking
M000209,Crossing,a person walking forward in a straight line.,walking
000218,Crossing,a person skips forward then twirls around while moving their arms,skipping and gesturing
