File ID,Category,Original Description,Subcategory
000038,Idle,a person raises his right arm and moves his left arm and left hand up and down in a regular fashion.,gesturing
000044,Idle,"a person raises and lowers their arms, turns, then lowers so their arms and legs are on the floor with their stomach facing up",gesturing and falling
M000044,Idle,"a person raises and lowers their arms, turns, then lowers so their arms and legs are on the floor with their stomach facing up",gesturing and falling
000045,Idle,person looks to be reaching for something above that they cannot see,gesturing
M000045,Idle,person looks to be reaching for something above that they cannot see,gesturing
000047,Idle,a person moves their arm forward then back while squatting then standing,gesturing
M000047,Idle,a person moves their arm forward then back while squatting then standing,gesturing and squatting
000048,Idle,"a person gestures with both arms, puts their right hand on their hip, then gestures again",gesturing
M000048,Idle,"a person gestures with both arms, puts their left hand on their hip, then gestures again",gesturing
000054,Idle,he is waving with his right hand,gesturing
M000054,Idle,he is waving with his left hand,gesturing
000060,Idle,person is clapping on the spot,gesturing
M000060,Idle,person is clapping on the spot,gesturing
000063,Idle,a person is drying their right arm,irrelevant
M000063,Idle,a person is drying their left arm,irrelevant
000076,Idle,man reaches down to the left as to pick up item and then reaches to the right as if emptying item then replaces it to the left.,gesturing
M000076,Idle,man reaches down to the right as to pick up item and then reaches to the left as if emptying item then replaces it to the right.,reaching and gesturing
000080,Idle,a person jumps in front of them.,jumping
M000080,Idle,a person jumps in front of them.,jumping
000081,Idle,person lifts and object and places it to their right,gesturing
M000081,Idle,person lifts and object and places it to their left,gesturing
000087,Idle,a person standing brings hands together in front of him to applaud,gesturing
M000087,Idle,a person standing brings hands together in front of him to applaud,standing and gesturing
000109,Idle,a man walks backwards with both hands by his side.,walking and turning around
M000109,Idle,a man walks backwards with both hands by his side.,walking and turning around
000110,Idle,a man crosses both arms.,gesturing
M000110,Idle,a man crosses both arms.,gesturing
000113,Idle,a man waves with his right hand.,gesturing
M000113,Idle,a man waves with his left hand.,gesturing
000116,Idle,a man is singing loudly while walking forward.,walking and gesturing
M000116,Idle,a man is singing loudly while walking forward.,walking and gesturing
000117,Idle,"a person sways gently right then left, takes a turn clockwise, then takes a few short steps.",swaying and walking
M000117,Idle,"a person sways gently left then right, takes a turn counterclockwise, then takes a few short steps.",swaying and turning and walking
000136,Idle,a person holds up their hands and moves back and forth while looking up,gesturing
M000136,Idle,a person holds up their hands and moves back and forth while looking up,gesturing
000154,Idle,a person throws a football the steps left and cradles their hand as if it was hurt.,throwing and gesturing
M000154,Idle,a person throws a football the steps right and cradles their hand as if it was hurt.,throwing and gesturing
000185,Idle,"a person walks forward, picks up an object, turns and walks back, put the object down on the ground, continues walking, then leans down.",walking and picking up and gesturing and leaning down
M000185,Idle,"a person walks forward, picks up an object, turns and walks back, put the object down on the ground, continues walking, then leans down.","walking and picking up, turning around and putting down, leaning down"
000206,Idle,"a man walks, anti-clockwise, in a circle.",walking and turning around
M000206,Idle,"a man walks, clockwise, in a circle.",walking and turning around
000220,Idle,"a person walks forward with his right hand outstretched like he is carrying something, stops, then motions like his is putting something on a counter. he proceeds to walk back to his starting position in a counter-clockwise direction.",walking and gesturing
M000220,Idle,"a person walks forward with his left hand outstretched like he is carrying something, stops, then motions like his is putting something on a counter. he proceeds to walk back to his starting position in a clockwise direction.","walking and gesturing
putting down an item
turning around
walking in a circle"
000225,Idle,"a husky individual takes some wide sideways steps forward, swivels on his heel, and takes some steps backward.",walking and turning around
M000225,Idle,"a husky individual takes some wide sideways steps forward, swivels on his heel, and takes some steps backward.",walking and turning around
000238,Idle,a person takes a few steps then puts their hand on their hip,standing and gesturing
M000238,Idle,a person takes a few steps then puts their hand on their hip,standing and gesturing
000246,Idle,a person cautiously walks in an arc,walking and turning around
M000246,Idle,a person cautiously walks in an arc,walking and turning around
000258,Idle,"a person kneels down, crawls forward several paces, turns around and stands up.","kneeling, crawling, standing"
M000258,Idle,"a person kneels down, crawls forward several paces, turns around and stands up.","kneeling and crawling, standing"
000269,Idle,"a person walks clockwise in a circle, holding, and then, dribbling, a imaginary basketball.",walking and gesturing
M000269,Idle,"a person walks counterclockwise in a circle, holding, and then, dribbling, a imaginary basketball.",gesturing and walking in a circle
000275,Idle,"a person turns around and walks five feet, then bends down as if to pick something up",walking and turning around
M000275,Idle,"a person turns around and walks five feet, then bends down as if to pick something up","turning around and walking, gesturing"
000280,Idle,a person standing raises both arms in front of them to be parallel to the floor.,gesturing
M000280,Idle,a person standing raises both arms in front of them to be parallel to the floor.,gesturing
000281,Idle,a person turns in a clock-wise direction while standing in the same spot with arms open in front of them.,standing and gesturing
M000281,Idle,a person turns in a counterclockwise direction while standing in the same spot with arms open in front of them.,standing and gesturing
000291,Idle,a person is jumping up and down.,jumping
M000291,Idle,a person is jumping up and down.,jumping
000302,Idle,a person goes into a ducking position like they are shielding themselves from something,falling
M000302,Idle,a person goes into a ducking position like they are shielding themselves from something,falling
000303,Idle,person looks like theyre salting/cutting their food,irrelevant
M000303,Idle,person looks like theyre salting/cutting their food,irrelevant
000308,Idle,"a person standing with both feet spread apart, lifts both arms straight out away from their sides.",standing
M000308,Idle,"a person standing with both feet spread apart, lifts both arms straight out away from their sides.",standing and gesturing
000311,Idle,a person uses his right hand to slowly move an object from his left side to the right.,gesturing
M000311,Idle,a person uses his left hand to slowly move an object from his right side to the left.,gesturing
000312,Idle,someone is holding something with both hands while rocking back and forth.,gesturing and rocking
M000312,Idle,someone is holding something with both hands while rocking back and forth.,gesturing and standing
M000315,Idle,a person walks in a counterclockwise circular motion,walking and turning around
000318,Idle,a person takes a step forward with their right foot and leans forward to pick something off the ground with their right arm while lifting their left leg straight behind them and then standing back up again.,leaning to pick up an object and stand
M000318,Idle,a person takes a step forward with their left foot and leans forward to pick something off the ground with their left arm while lifting their right leg straight behind them and then standing back up again.,leaning to pick up something and stand
000323,Idle,person has their arms spread out to show domination,gesturing
M000323,Idle,person has their arms spread out to show domination,gesturing
000327,Idle,"a person raises their right arm and then bends to touch the floor in fromt of them, they repeat this motion twice.",gesturing
M000327,Idle,"a person raises their left arm and then bends to touch the floor in fromt of them, they repeat this motion twice.",gesturing
000336,Idle,person takes something and then finely cuts something,irrelevant
000339,Idle,"the person starts in a wide standing position, swings left leg behind and around back to the wide standing position.",swinging leg
M000339,Idle,"the person starts in a wide standing position, swings right leg behind and around back to the wide standing position.",standing and gesturing
000354,Idle,a man jumps up and down 10 times.,jumping
M000354,Idle,a man jumps up and down 10 times.,jumping
000356,Idle,"someone stands in a relaxed position while swaying right to left and waves at a stranger with their right hand, then waves at a second person, and finally waves very enthusiastically at someone they know!","standing and gesturing, turning around, gesturing"
M000356,Idle,"someone stands in a relaxed position while swaying left to right and waves at a stranger with their left hand, then waves at a second person, and finally waves very enthusiastically at someone they know!","standing and gesturing, turning around, gesturing"
000361,Idle,a person is picking up a brush and then brushing his pet.,gesturing and brushing
M000361,Idle,a person is picking up a brush and then brushing his pet.,gesturing and brushing
000363,Idle,"a person walks a few steps, then begins to jog or run.",running
M000363,Idle,"a person walks a few steps, then begins to jog or run.",walking and jogging/runing
000369,Idle,person looks like they kick something with both legs 2 times,gesturing
M000369,Idle,person looks like they kick something with both legs 2 times,gesturing
000370,Idle,a person jumps up and down three times,jumping
M000370,Idle,a person jumps up and down three times,jumping
000373,Idle,a person stands and then pretends to play a violin on his right shoulder.,gesturing
M000373,Idle,a person stands and then pretends to play a violin on his left shoulder.,gesturing
000380,Idle,a person is standing and moving their arm in and outwardly.,gesturing
M000380,Idle,a person is standing and moving their arm in and outwardly.,gesturing
000386,Idle,person has their legs spread out and standing then changes position and does the same,standing and gesturing
M000386,Idle,person has their legs spread out and standing then changes position and does the same,standing and turning around
000388,Idle,a person is standing and making a frustrated gesture.,standing and gesturing
M000388,Idle,a person is standing and making a frustrated gesture.,standing and gesturing
000396,Idle,"a man runs back and forth, then upon running back decides to stop almost midway.",running and stopping
M000396,Idle,"a man runs back and forth, then upon running back decides to stop almost midway.",running and stopping
000401,Idle,"a figure slides two long steps to its left, then takes three sideways steps to its right, crossing left foot in front of right, and one step without crossing the left foot in front.",gesturing and walking
M000401,Idle,"a figure slides two long steps to its right, then takes three sideways steps to its left, crossing right foot in front of left, and one step without crossing the right foot in front.",stepping
000404,Idle,a person jumps in a ninety degree circle.,jumping and turning around
000427,Idle,"the person is in a fighting pose with both hands ready to strike, then does a 360 degrees, clockwise kick with their right foot.",gesturing and jumping
M000427,Idle,"the person is in a fighting pose with both hands ready to strike, then does a 360 degrees, counterclockwise kick with their left foot.",counterclockwise kicking and turning around
000430,Idle,a person walks backwards slowly.,walking and turning around
M000430,Idle,a person walks backwards slowly.,walking and turning around
000437,Idle,person takes a large step to the right and loses balance slightly then is stationary,falling
M000437,Idle,person takes a large step to the left and loses balance slightly then is stationary,falling
000438,Idle,"a person leans down slightly to the left, then leans down slightly to the right.",gesturing
M000438,Idle,"a person leans down slightly to the right, then leans down slightly to the left.",leaning
000451,Idle,"a person crosses its arms while standing, then it unfolds them.",standing and gesturing
M000451,Idle,"a person crosses its arms while standing, then it unfolds them.",standing and gesturing
000455,Idle,a person turns clockwise while standing in place then slowly stretches arms outward to their side.,standing and gesturing
M000455,Idle,a person turns counterclockwise while standing in place then slowly stretches arms outward to their side.,standing and gesturing
000461,Idle,person is using their right arm up to point around,gesturing
M000461,Idle,person is using their left arm up to point around,gesturing
000471,Idle,a person squats down then jumps,jumping
M000471,Idle,a person squats down then jumps,jumping
000489,Idle,"a person stands still, then waves, then stands still",standing and gesturing
M000489,Idle,"a person stands still, then waves, then stands still",standing and gesturing
000499,Idle,a person jumps over something while turning their wrists,jumping and gesturing
M000499,Idle,a person jumps over something while turning their wrists,jumping and gesturing
000510,Idle,a person standing up indicates somthing on his left with his right arm.,standing and gesturing
M000510,Idle,a person standing up indicates somthing on his right with his left arm.,standing and gesturing
000522,Idle,the person was swinging his arms wildly and then stops.,gesturing
M000522,Idle,the person was swinging his arms wildly and then stops.,swinging and stopping
000527,Idle,a person jumps around while moving their arms up and down,jumping and gesturing
M000527,Idle,a person jumps around while moving their arms up and down,jumping and gesturing
000534,Idle,a person standing in place raises both arms to the side raising them above eye level.,standing and gesturing
M000534,Idle,a person standing in place raises both arms to the side raising them above eye level.,standing and gesturing
000540,Idle,"a standing person extends both hands up, above their head and jumps three times.",jumping and gesturing
M000540,Idle,"a standing person extends both hands up, above their head and jumps three times.",standing and gesturing
000545,Idle,a man in running in place before stopping.,running and gesturing
M000545,Idle,a man in running in place before stopping.,running and gesturing
000546,Idle,"a person walks forward then pauses and holds their left elbow with their right hand, then they continue walking and turn around.",walking and turning around
M000546,Idle,"a person walks forward then pauses and holds their right elbow with their left hand, then they continue walking and turn around.",walking and turning around
000547,Idle,a person waiving quickly by shaking hand side to side.,gesturing
M000547,Idle,a person waiving quickly by shaking hand side to side.,gesturing
000558,Idle,a person leans left while adjusting something then step around to their right to touch something woth their right hand.,"leaning and gesturing, stepping and turning, touching with hand"
M000558,Idle,a person leans right while adjusting something then step around to their left to touch something woth their left hand.,"leaning and gesturing, stepping, touching"
000571,Idle,a person loses his balance towards his right and then steps back towards his left.,falling and stepping back
M000571,Idle,a person loses his balance towards his left and then steps back towards his right.,falling and stepping back
000575,Idle,a person is picking up an object off the ground.,reaching
M000575,Idle,a person is picking up an object off the ground.,reaching for
000592,Idle,a person is pacing around then places their hands on their hips.,pacing and gesturing
M000592,Idle,a person is pacing around then places their hands on their hips.,gesturing and standing
000594,Idle,"a person softly hops in position, keeping their arms and legs stiff.",hoping
M000594,Idle,"a person softly hops in position, keeping their arms and legs stiff.",hoping
000608,Idle,a person in a standing position jumps straight up and down once.,jumping
M000608,Idle,a person in a standing position jumps straight up and down once.,jumping
000611,Idle,a person stumbles one step directly to his right.,falling
M000611,Idle,a person stumbles one step directly to his left.,falling
000900,Idle,the person is boxing with their right hand.,gesturing
000901,Idle,a man slowly walks backwards and then walks side to side before walking forwards.,walking and turning around
000907,Idle,a person jumps up and down with their hands in the air.,jumping and gesturing
000913,Idle,a person is gesturing their right arm at their shoulder level as if trying to communicate with someone.,gesturing
000921,Idle,person clasps both hands together then waves arms to side then goes down on right knee bent over ties something on feet then gets up,"clasping hands and gesturing, kneeling, getting up"
000937,Idle,"a person standing up claps their hands together one time, walks diagonally to the right slightly, then sits down.","standing and gesturing, walking diagonally, sitting down"
000958,Idle,"gesturing with right hand to come here, then waving",gesturing and waving
M000958,Idle,"gesturing with left hand to come here, then waving",gesturing and waving
000960,Idle,"a person, while standing, rubs their stomach with their right arm.",standing and gesturing
M000960,Idle,"a person, while standing, rubs their stomach with their left arm.",standing and gesturing
000963,Idle,person is picking something up then putting it down.,gesturing
M000963,Idle,person is picking something up then putting it down.,picking up and putting down
000969,Idle,"a person jumping on the rope, while doing a spin moves, and felt at the end",jumping and turning around
M000969,Idle,"a person jumping on the rope, while doing a spin moves, and felt at the end",jumping and gesturing
000984,Idle,"a person reaches for something with their right arm and then their left arm then proceeds to scrub something with both arms, they then reach for something with their right arm and their left arm again",gesturing
M000984,Idle,"a person reaches for something with their left arm and then their right arm then proceeds to scrub something with both arms, they then reach for something with their left arm and their right arm again",scrubbing and reaching
000991,Idle,a person standing and waving with his right hand.,standing and gesturing
M000991,Idle,a person standing and waving with his left hand.,standing and gesturing
000993,Idle,"a person examining something, considering picking it up before changing their mind.",gesturing
M000993,Idle,"a person examining something, considering picking it up before changing their mind.",gesturing
000996,Idle,a person runs in place then walks backward then squats down and walks forward.,"running and walking back, squatting, walking forward"
M000996,Idle,a person runs in place then walks backward then squats down and walks forward.,running and walking and squatting and walking forward
001004,Idle,a person is walking straight backwards.,walking backwards
M001004,Idle,a person is walking straight backwards.,walking backwards
001014,Idle,person has arms crossing.,gesturing
M001014,Idle,person has arms crossing.,gesturing
001027,Idle,a person waves their arms in the air then lowers them to their side.,gesturing
001040,Idle,"a man jumps up and down, flapping his hands.",jumping and gesturing
M001040,Idle,"a man jumps up and down, flapping his hands.",jumping and gesturing
001055,Idle,"person is standing, begins to drag right leg back and completes a counter clockwise circular motion with the left foot.",standing and turning around
001063,Idle,a person lets their hand down from there head and puts something down.,gesturing and putting something down
M001063,Idle,a person lets their hand down from there head and puts something down.,gesturing
001069,Idle,a person standing up straight and putting both right and left hands together multiple times.,gesturing
M001069,Idle,a person standing up straight and putting both left and right hands together multiple times.,gesturing
001076,Idle,a man is running in place.,running
M001076,Idle,a man is running in place.,running
